,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,date_with_day,desc
672,2003,Confirmed,"Juan ""Jun"" Pala",,Philippines,,,Male,,,Journalist,,Murder,Killed,Staff,DXGO Radio,Columnist/Commentator,"Corruption,Politics",Radio,Philippines,Davao City,,,Davao City,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"September 6, 2003","Unidentified gunmen riding a motorcycle shot Pala, a commentator on DXGO radio, while he was walking home with a bodyguard and a friend in Davao City. The journalist, who suffered nine gunshot wounds, was pronounced dead on arrival at the San Pedro Hospital, according to the Manila-based Center for Media Freedom and Responsibility (CMFR). His companions sustained minor injuries."
673,2000,Confirmed,Juan Camilo Restrepo Guerra,,Colombia,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Galaxia Estéreo,Producer,Corruption,Radio,Colombia,Sevilla,,,Sevilla,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 31, 2000","Restrepo, a community radio station director, was shot dead in northwestern Colombia. Government investigators told CPJ that he was apparently murdered in retaliation for his sharp criticisms of the local administration."
674,2003,Confirmed,Juan Carlos Benavides Arévalo,,Colombia,,,Male,,,Journalist,,Crossfire,Killed,Staff,Manantial Estéreo,Broadcast Reporter,Politics,Radio,Colombia,Puerto Caicedo,,,Puerto Caicedo,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"August 22, 2003","Benavides, a 29-year-old host for the community radio station Manantial Estéreo, was shot dead when the vehicle in which he was traveling was fired on at a checkpoint reportedly guarded by members of the Revolutionary Armed Forces of Colombia (FARC) near the town of Puerto Caicedo, in southern Colombia."
675,2001,Confirmed,Juan Carlos Encinas,,Bolivia,,,Male,,,Journalist,,Dangerous Assignment,Killed,Freelance,Freelancer,Print Reporter,Human Rights,Print,Bolivia,Catavi,,,Catavi,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"July 29, 2001","Encinas, 39, a freelance reporter in the small town of Catavi in La Paz Department, died of wounds sustained while he was covering a fight between two mining cooperatives that were vying for control of a limestone quarry outside the city."
676,1995,Confirmed,Juan Carlos Vásquez,,Dominican Republic,,,Male,,,Journalist,,Murder,Killed,Staff,Ultima Hora,Print Reporter,"Culture,Sports",Print,Dominican Republic,an area near Santo Domingo,,,an area near Santo Domingo,,Local,Military Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"July 2, 1995","Vásquez, a sports reporter with the afternoon daily Ultima Hora, was shot and killed by an off-duty police officer after a dispute over a hit-and-run accident. Vásquez, Ultima Hora photographer Victor Abreu Peña, and a cameraman were returning from Santo Domingo where they had covered a jet-ski competition when their jeep collided with a public minibus. According to witnesses, the three journalists then followed the minibus, which had driven away from the scene of the accident. When the minibus finally stopped, Vásquez began talking with the bus driver and a man got off, identified himself as a police officer, and drew his gun."
677,2004,Confirmed,Juan Emilio Andújar Matos,,Dominican Republic,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Azua and Listín Diario,Broadcast Reporter,Crime,Radio,Dominican Republic,Azua,,,Azua,,Local,Criminal Group,Confirmed,,,Full Justice,No,No,Yes,,,,,,,,,,"September 14, 2004","Andújar was ambushed and killed by gunmen moments aftera radio broadcast in which he reported on a bloody crime wave thatpitted gang members against police in the southern town of Azua, accordingto local news reports."
678,2018,Confirmed,Juan Javier Ortega Reyes,,Ecuador,,,Male,https://cpj-photos.s3.amazonaws.com/Ec_Ortega1-2018-05-01-1525211691191.jpg,Ortega Family,Journalist,Killed,Murder,Killed,Staff,El Comercio,Print Reporter,"Corruption,Crime,Politics,Human Rights",Print,Colombia,,,,,,Foreign,Political Group,Confirmed,,,Partial Impunity,No,Yes,No,,,,,,,,,,April 10-April 12 2018,"Juan Javier Ortega Reyes, a reporter for the Quito daily El Comercio, was killed between April 10 and 12, 2018, along with the other two members of his reporting team, in southwest Colombia. He was 32 years old."
679,2003,Confirmed,Julio Anguita Parrado,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/julio_anguita_parrado_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Staff,El Mundo,Print Reporter,War,Print,Iraq,outside Baghdad,,,outside Baghdad,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,,"April 7, 2003","Parrado, a correspondent for the Spanish daily El Mundo, died in an Iraqi missile attack while accompanying the U.S. Army’s 3rd Infantry Division south of the capital, Baghdad. Both Parrado and Christian Liebig, a German journalist for Focus magazine who was also killed in the incident, were embedded with the division, according to Agence France-Presse."
680,2005,Confirmed,Julio Augusto García Romero,,Ecuador,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,La Bocina and Punto de Vista,Photographer,"Human Rights,Politics",Print,Ecuador,Quito,,,Quito,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"April 19, 2005","Photographer García Romero died after inhaling tear gas while covering a demonstration against then-President Lucio Gutiérrez. Protesters were moving toward the Palacio de Carondelet, the seat of the executive branch, when police fired water cannons and tear gas grenades into the crowd."
681,2000,Confirmed,Julio César Da Rosa,,Uruguay,,,Male,,,Journalist,,Murder,Killed,Staff,Radio del Centro,,Corruption,Radio,Uruguay,Baltasar Brum,,,Baltasar Brum,,Local,Government Officials,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,,"February 24, 2000","Da Rosa, owner and editor of the independent station Radio del Centro, was murdered by former local official Carmelo Nery Colombo, who shot the journalist and then turned the weapon on himself."
682,2001,Confirmed,Julio Fuentes,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/julio_fuentes_afghanistan_2001.jpg,,Journalist,,Murder,Killed,Staff,El Mundo,Print Reporter,War,Print,Afghanistan,Nangarhar Province,,,Nangarhar Province,Nangarhar Province,Foreign,Paramilitary Group,Confirmed,,,Full Justice,No,Yes,No,,,,,,,,,,"November 19, 2001","Azizullah Haidari, an Afghan-born photographer for the Reuters news agency; Harry Burton, an Australian cameraman for Reuters; Julio Fuentes, a Spanish correspondent for the Madrid-based newspaper El Mundo; and Maria Grazia Cutuli, an Italian correspondent for the Milan-based daily Corriere della Serra, were killed by a group of gunmen who ambushed their convoy."
683,2005,Confirmed,Julio Hernando Palacios Sánchez,,Colombia,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Lemas,Broadcast Reporter,Corruption,Radio,Colombia,Cúcuta,,,Cúcuta,,Local,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"January 11, 2005","Two armed motorcyclists shot Palacios, 55, a veteran radio news host,as he drove to work around 5:30 a.m. in the city of Cúcuta, in theunstable northeastern region near the Venezuelan border. Palacios, whohosted the morning program “Radio Periódico El Viento” on Radio Lemas,was shot three times in the chest, said the local police chief, Col."
684,2020,Confirmed,Julio Valdivia,,Mexico,,,Male,,,Journalist,Killed,Murder,Killed,Staff,El Mundo,"Print Reporter,Internet Reporter","Crime,Politics","Print,Internet",Mexico,Tezonapa,,Veracruz,Tezonapa,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"September 9, 2020","The body of Julio Valdivia, a reporter for the Córdoba-based El Mundo newspaper, was found in the afternoon of September 9, 2020, in the municipality of Tezonapa, in the eastern Mexican state of Veracruz, according to news reports."
685,2011,Confirmed,Jyotirmoy Dey,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Midday,Print Reporter,Corruption,Print,India,Powai,,,Powai,,Local,Criminal Group,Confirmed,,,Full Justice,No,No,No,,,,,,,,,,"June 11, 2011","Multiple men on motorcycles fired several shots at Dey as he drove past them on his own motorcycle in Powai, a suburb of Mumbai. The journalist died at the scene from five bullet wounds to the head and chest, his colleagues at Midday told CPJ. Dey, special investigations editor for Midday, was known for his hard-hitting coverage of Mumbai’s crime world."
686,2004,Confirmed,Kamal Hossain,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Ajker Kagoj,Print Reporter,Crime,Print,Bangladesh,Manikcchari ,,,Manikcchari ,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,"August 22, 2004","Hossain, the local correspondent for the Bangla-language daily AjkerKagoj, was abducted and brutally murdered by unknown assailantsin the early morning in Manikcchari, eastern Chittagong District,according to local news reports. The newswire service the United Newsof Bangladesh (UNB) reported that police discovered Hossain’s decapitatedbody nearby hours later. According to Bangladeshi news reports, armed men broke into Hossain’shouse in the middle of the night and threatened to kill Hossain’s2-year-old son unless he surrendered to them. The men took Hossainaway at gunpoint. Hossain, 32, was the general secretary of the Manikcchari Press Cluband had recently written several articles about criminal activity,according to local journalists. The Chittagong District is notoriousfor organized crime, including the illegal trade of lumber and arms,sources told CPJ. Hossain was also involved with the local youth wingof the ruling Bangladesh Nationalist Party, the Jatiyatabadi ChhatraDal, and had recently had a dispute with a neighbor about land, Bangladeshinews outlets reported."
687,2006,Confirmed,Kamal Manahi Anbar,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kamal_manahi_anbar_iraq_2006.jpg,,Journalist,,Crossfire,Killed,Freelance,freelance,Print Reporter,War,Print,Iraq,Baghdad,,,Baghdad,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"March 26, 2006","Anbar, 28, a freelance journalist and former trainee with the Institute for War and Peace Reporting (IWPR), was killed by Iraqi forces’ fire during a clash with insurgents. The shooting broke out near Al-Mustafa al-Husseiniyah mosque in Baghdad’s Ur neighborhood, according to CPJ sources. Iraqi forces, backed by U.S. military, opened fire after several shots were fired from a building adjacent to the mosque. Civilians rushed for cover, among them Anbar, who was found shot several times in the face and neck, according to IWPR. According to CPJ sources, Anbar was among 16 people killed in the fighting."
688,2018,Confirmed,Kamel abu al-Walid,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Jarabulus Media Office,Photographer,War,Internet,Syria,Afrin,,,Afrin,,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"March 19, 2018","Kamel abu al-Walid, a photographer for the Jarabulus Media Office, died from injuries sustained in a landmine explosion in the northern Syrian city of Afrin, on March 19, 2018, according to his employer, the Syrian Journalist Association, and the Syrian Network for Human Rights. Al-Walid was covering the takeover of Afrin by Turkish forces and Turkish-backed Free Syrian Army (FSA) factions when a landmine planted in an office building exploded next to him, according to Murat Mahli, the Jarabulus Media Office director, who spoke with witnesses. Mahli told CPJ that al-Walid died at the scene."
689,2004,Confirmed,Karam Hussein,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/karam_hussein_iraq_2004.jpg,,Journalist,,Murder,Killed,Staff,European Pressphoto Agency,Photographer,War,Print,Iraq,Mosul,,,Mosul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"October 14, 2004","Hussein, an Iraqi photographer working for the German-based EuropeanPressphoto Agency (EPA), was killed by a group of gunmen in frontof his home in the northern city of Mosul. The precise motive wasnot immediately known, but Hussein’s colleagues believe it was connectedto his work for a foreign news organization."
690,2017,Confirmed,Karam Kabishou,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Sama TV,Camera Operator,"War,Culture",Television,Syria,Umm Haratin,,,Umm Haratin,Idlib,Local,"Political Group,Paramilitary Group",Confirmed,No,,,,,,,,,,,,,,,"December 29, 2017","Karam Kabishou, a cameraman for the pro-government Syrian television channel Sama TV, was killed in shelling on December 29, 2017, while covering clashes between the Syrian Arab Army and the opposition militia Hayat Tahrir al-Sham (formerly Al-Nusra Front), near the village of Umm Haratin, in the northwestern Syrian province of Idlib, according to news reports and the Syrian Journalists Association. Abdulghani Jaroukh, a correspondent for Sama TV in Hama and Idlib, sustained light injuries in the stomach as a result of the same blast and was transferred for treatment to the National Hospital in Hama, news reports said.  The shelling was carried out by Hayat Tahrir al-Sham, according to reports and local press freedom groups."
691,2006,Confirmed,Karen Fischer,,,,,Female,,,Journalist,,Murder,Killed,Freelance,freelance,Broadcast Reporter,"Politics,War",Radio,Afghanistan,Baghlan,,,Baghlan,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 7, 2006","Karen Fischer, 30, and Christian Struwe, 39, Deutsche Welle journalists doing research for a freelance documentary, were shot in a tent they had pitched along a road near Baghlan, about 95 miles (150 kilometers) northwest of Kabul. Deutsche Welle said the two had recently visited several United Nations Children’s Fund projects in northern Afghanistan and were en route to the central province of Bamiyan."
692,2011,Confirmed,Karim Fakhrawi,,Bahrain,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Karim%252520Fakhraw1i.jpg,,Journalist,,Murder,Killed,Staff,Al-Wasat,Publisher/Owner,"Human Rights,Politics",Print,Bahrain,Manama,,,Manama,,Local,Government Officials,Confirmed,,,Partial Impunity,Yes,Yes,No,,,,,,,,,,"April 11 or 12, 2011","Karim Fakhrawi, founder and board member of Al-Wasat, Bahrain’s premier independent daily newspaper, was tortured to death in state custody between April 11 and 12, 2011, according to news reports and a government commission of inquiry launched later that year."
693,1993,Confirmed,Karmela Sojanovic,,Bosnia,,,Female,,,Journalist,,Murder,Killed,Staff,Oslobodjenje,Print Reporter,War,Print,Bosnia,Sarajevo,,,Sarajevo,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"January 10, 1993","Sojanovic, who worked for the daily Oslobodjenje, was killed by a sniper at her home in Sarajevo. Two of her colleagues at the paper had been killed in 1992, and two others had disappeared and were presumed dead."
694,2016,Confirmed,Karun Misra,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Jansandesh Times,Print Reporter,"Corruption,Crime,Politics",Print,India,"Sultanpur, Uttar Pradesh",,,"Sultanpur, Uttar Pradesh",,Local,"Criminal Group, Local Residents",Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"February 13, 2016","Three gunmen on motorcycles shot Misra in Sultanpur district as the journalist was driving to his home in Ambedkar Nagar on the afternoon of February 13, according to local media reports. Misra, who was the Ambedkar Nagar bureau chief of the Hindi daily Jansandesh Times, died from his injuries on the way to the hospital, according to The Hindu."
695,2001,Confirmed,Kaset Puengpak,,Thailand,,,Male,,,Journalist,,Murder,Killed,Freelance,Thai Rath,Print Reporter,"Corruption,Crime",Print,Thailand,Viset Chaichan,,,Viset Chaichan,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"May 2, 2001","Kaset, a stringer for the Thai-language newspaper Thai Rath, was shot dead in Viset Chaichan District, Ang Thong Province. Kaset was known for his reporting on local drug gangs linked to powerful politicians and police officers, according to Thai Rath and several Thai journalists. The Thai Journalists Association issued a statement saying that Kaset was likely murdered for his journalistic work. After the killing, authorities interrogated a police corporal who had quarreled with Kaset over law enforcement issues in the area. No arrests have been reported in the case."
696,2005,Confirmed,Kate Peyton,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/Peyton.2005.somalia1.jpg,BBC,Journalist,,Murder,Killed,Staff,BBC,Producer,"Politics,War",Television,Somalia,Mogadishu,,,Mogadishu,,Foreign,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"February 9, 2005","Peyton, a BBC producer, was shot outside her hotel in the Somalicapital. Peyton underwent surgery at a local hospital but died later ofinternal bleeding, according to the BBC."
697,2003,Confirmed,Kaveh Golestan,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kaveh_golestan_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Freelance,freelance,Camera Operator,War,Television,Iraq,Kifri,,,Kifri,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,,"April 2, 2003","Golestan, an Iranian freelance cameraman on assignment for the BBC, was killed in northern Iraq after stepping on a land mine, the BBC confirmed."
698,2013,Confirmed,Kawa Garmyane,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,"Rayel, Awene","Editor,Print Reporter","Corruption,Crime,Politics","Print,Internet",Iraq,"Kalar, Sulaymaniyah",,,"Kalar, Sulaymaniyah",,Local,,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"December 5, 2013","Unknown gunmen shot and killed Garmyane outside his home in town of Kalar, south of the Kurdish Iraqi city of Sulaymaniyah, news reports said."
699,2012,Confirmed,Kazbek Gekkiyev,,Russia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/gekkiyev_rtrs2.jpg,Reuters,Journalist,,Murder,Killed,Staff,VGTRK,Broadcast Reporter,Culture,Television,Russia,Nalchik,,,Nalchik,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"December 5, 2012","Two assailants shot Gekkiyev three times inthe head as he was returning home from work with a friend at about 9 p.m. inNalchik, capital of the republic of Kabardino-Balkaria, according to local and international news reports. Gekkiyev, 28, was a news anchor for theregional affiliate of state-owned broadcaster VGTRK."
700,1993,Confirmed,Kemal Kilic,,Turkey,,,Male,,,Journalist,,Murder,Killed,Staff,Ozgur Gundem,Print Reporter,Human Rights,Print,Turkey,Kulunce Village,,,Kulunce Village,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"February 25, 1993","Kilic, Urfa correspondent for the newspaper Ozgur Gundem, was shot and killed by unknown assailants in Kulunce Village, near the city of Urfa. Police had questioned him about a news release he had published on the difficulties distributors had faced in selling the newspaper in Sanli Urfa Province."
701,1994,Confirmed,Ken Oosterbroek,,South Africa,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/ap_oosterbroek_rs.jpg_a37fafa7-205f-4c01-a490-d174da0d5db9.jpeg,AP Photo/David Brauchli,Journalist,,Crossfire,Killed,Staff,The Star,Photographer,War,Print,South Africa,Thokoza,,,Thokoza,,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"April 18, 1994","Oosterbroek, chief photographer for Johannesburg’s The Star newspaper, was shot and killed while covering a gunbattle between Inkatha supporters and the National Peacekeeping Force in the township of Thokoza, nine days before South Africa’s first democratic election."
702,2015,Confirmed,Kenji Goto,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Kenji-Goto200.jpg,Getty,Journalist,,Murder,Killed,Freelance,Freelance,"Camera Operator,Photographer,Internet Reporter","Culture,Human Rights,Politics,War","Television,Internet",Syria,Unknown,,,Unknown,,Foreign,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,,January 2015,"On January 31, 2015, the militant group Islamic State released a video purporting to show the beheading of Japanese journalist Kenji Goto, according to news reports. Japanese authorities said the footage appeared to be authentic, and Prime Minister Shinzo Abe vowed to “make the terrorists pay,” according to reports."
703,2007,Confirmed,Kenji Nagai,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kenji_nagai_burma_2007.jpg,,Journalist,,Dangerous Assignment,Killed,Staff,APF News,"Camera Operator,Photographer","Human Rights,Politics","Print,Television",Myanmar,Rangoon,,,Rangoon,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,,"September 27, 2007","Nagai, 50, who was working for the Tokyo-based video and photo agency APF News, was killed by Burmese troops cracking down on antigovernment demonstrations in Rangoon, according to official Japanese state-run television."
704,2001,Confirmed,Kerem Lawton,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kerem_lawton_yugoslavia_2001.jpg,,Journalist,,Crossfire,Killed,Staff,Associated Press Television News,Producer,War,Television,Yugoslavia,"Krivenik, Kosovo",,,"Krivenik, Kosovo",,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,,"March 29, 2001","Lawton, 30, a British national and producer for Associated PressTelevision News, died from shrapnel wounds sustained when a shellstruck his car. At least two other civilians were feared dead in theattack, and at least 10 others were injured."
705,1995,Confirmed,Khadija Dahmani,,Algeria,,,Female,,,Journalist,,Murder,Killed,Staff,Echourouk al-Arabi,Print Reporter,War,Print,Algeria,Algiers,,,Algiers,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"December 5, 1995","Dahmani, a reporter for the weekly tabloid Echourouk al-Arabi, was shot dead near her home in Baraki, a stronghold of Islamic fundamentalism in the south of Algiers. She was killed at a bus stop on her way to work. Dahmani was the sixth female journalist killed in Algeria in 1995."
706,2014,Confirmed,Khaled Abdel Thamer,,Iraq,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Al-Iraqiya,Camera Operator,Politics,Television,Iraq,"Hilla, Babil province",,,"Hilla, Babil province","Hilla, Babil province",Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"March 10, 2014","Abdel Thamer, a cameraman for the state-run Al-Iraqiya TV station, was killed in a suicide bombing at a police checkpoint in Iraq’s Babil province, according to news reports. The explosion killed dozens of Iraqis, including Muthanna Abdel Hussein, another cameraman for the station."
707,2005,Confirmed,Khaled al-Attar,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Al-Iraqiya,"Columnist/Commentator,Producer",War,Television,Iraq,Mosul,,,Mosul,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"July 1, 2005","Al-Attar, an Iraqi television producer for the state news channel Al-Iraqiya, was killed in Mosul after being kidnapped earlier in the day. Ghazi al-Faisal, a supervisor at the Al-Iraqiya station in Mosul, said al-Attar helped produce a number of programs, including a satirical look at Iraqi government. Al-Attar also appeared on camera. Al-Faisal said that he was unaware of any threats to al-Attar, but noted that the station’s employees have been targeted."
708,2017,Confirmed,Khaled al-Khateb,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Freelance,RT,"Broadcast Reporter,Camera Operator",War,Television,Syria,Sukhna,,,Sukhna,Homs,Local,Political Group,Confirmed,No,,,,,,,,,,,,,,,"July 30, 2017","Khaled al-Khateb, a 25-year-old freelance reporter for the Russian-government-funded broadcaster RT Arabic, was killed on July 30, 2017, by a rocket fired by fighters from the Islamic State group as he traveled in a Syrian Army convoy near the village of Sukhna in eastern Homs province, RT Arabic reported. An employee of RT Arabic who asked that CPJ not use his name because he was not authorized to speak on behalf of the station told CPJ that ""several"" Syrian soldiers were also killed in the attack and that RT cameraman Muutaz Yaqoub was injured."
709,2015,Confirmed,Khaled al-Washli,,Yemen,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Al-Masirah TV,Broadcast Reporter,"Human Rights,Politics,War",Television,Yemen,Dhamar,,,Dhamar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"January 4, 2015","Al-Washli, a correspondent for the Houthi-owned Al-Masirah TV, was killed in the Yemeni city of Dhamar when a bomb exploded while he was covering attempts by Houthi militiamen to defuse it, according to news reports."
710,2016,Confirmed,Khaled al-Zintani ,,Libya,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Freelance,Photographer,War,"Television,Internet",Libya,Benghazi,,,Benghazi,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"June 24, 2016","Photojournalist al-Zintani was killed by a sniper while reporting in Gwersha, a southern district in Benghazi, on June 24. Al-Zintani documented the involvement of the Saiqa (special forces) of the Libyan National Army in the conflict in Libya. He also sold content to local and international networks on a freelance basis."
711,2016,Confirmed,Khaled Eissa ,,Syria,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/khaledeissa250.jpg,"Screenshot from Khaled Eissa's Instagram account, @khaledesa9",Journalist,,Murder,Killed,Freelance,Freelance,"Camera Operator,Photographer","Human Rights,War","Television,Internet",Syria,Aleppo,,,Aleppo,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"June 24, 2016","Independent Syrian cameraman Khaled Eissa, 25, died in a hospital in Antakya, Turkey, on June 24, 2016, of injuries he suffered a week prior, according to his friends and news reports."
712,2007,Confirmed,Khaled Fayyad Obaid al-Hamdani,,Iraq,,,Male,,,Journalist,,Crossfire,Killed,Staff,Nahrain,Producer,"Culture,Sports",Television,Iraq,Abu Ghraib,,,Abu Ghraib,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"April 12, 2007","Al-Hamdani, a producer for the privately owned Nahrain satellite channel, was killed in a shooting that involved U.S. military forces, according to a station source and a relative. Al-Hamdani was driving at high speed from his home in Abu Ghraib to work in Baghdad when troops opened fire, the relative told CPJ. The source said al-Hamdani had often driven at high speed to minimize danger; the military patrol was apparently alarmed by the rate of speed. The road, a main access to Baghdad, was so notoriously dangerous that it was called the Highway of Death."
713,2006,Confirmed,Khaled Mahmoud al-Falahi,,Iraq,,,Male,,,Journalist,,Murder,Killed,Freelance,Wasan Productions and Al-Arabiya,Camera Operator,War,Television,Iraq,Samarra,,,Samarra,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"February 23, 2006","The bodies of correspondent Atwar Bahjat, cameraman Khaled Mahmoud al-Falahi,and engineer Adnan Khairallah were found near Samarra, a day after the stationlost contact with the crew, editors at Al-Arabiya told CPJ. Bahjat, 30, was awell-known on-air figure. Al-Arabiya said she had recently joined the channelafter working as a correspondent for the Arabic satellite channelAl-Jazeera."
714,2014,Confirmed,Khaled Reyadh Hamad,,Israel and the Occupied Palestinian Territory,,,Male,,,Journalist,,Crossfire,Killed,Staff,Continue Production Films,"Camera Operator,Photographer","Human Rights,Politics,War",Television,Israel and the Occupied Palestinian Territory,Gaza,,,Gaza,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"July 20, 2014","Hamad, a Palestinian cameraman, was killed in the Gaza City neighborhood of Shijaiyah, according to news reports and the journalist’s colleague. More than 60 Palestinians and 13 Israeli soldiers were killed in clashes between Israeli and Hamas forces in Shijaiyah that day, according to news reports."
715,2014,Confirmed,Khalid Ali Hamada,,Iraq,,,Male,,,Journalist,,Crossfire,Killed,Staff,Al-Ahad TV,Camera Operator,War,Television,Iraq,Diyala province,,,Diyala province,Diyala province,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"June 15, 2014","Hamada, cameraman for Al-Ahad TV, was killed in an attack in northern Diyala province, the Iraqi Journalists Syndicate and Iraqi news outlets reported. Moataz Jamil, a correspondent for the station, was also injured in the attack. Al-Ahad TV is affiliated with the Shia militant group League of the Righteous, according to Phillip Smyth, a researcher at the University of Maryland who focuses on Shia Islamist groups."
716,2007,Confirmed,Khalid W. Hassan,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/nyt.hassan12.jpg,New York Times,Journalist,,Murder,Killed,Staff,The New York Times,Print Reporter,War,Print,Iraq,Baghdad,,,Baghdad,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"July 13, 2007","Khalid W.  Hassan, 23, a reporter and interpreter, was shot while driving to work in the south central Seiydia district, the newspaper reported. He had called the bureau to say that he was taking an alternative route because his usual way was blocked by a security checkpoint, the newspaper said. The Times reported that the journalist called his mother a half hour later to say, “I’ve been shot.” The family notified the newspaper that Hassan later died."
717,2007,Confirmed,Khamail Khalaf ,,Iraq,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/khamail_khalaf_iraq_2007.jpg,,Journalist,,Murder,Killed,Staff,Radio Free Iraq,Broadcast Reporter,Culture,Radio,Iraq,Baghdad,,,Baghdad,,Local,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,,"April 5, 2007","Radio Free Iraq reporter Khalaf, who was kidnapped April 3 from Baghdad’s Yarmouk district, was found dead in the city’s Al-Jamia neighborhood on April 5, according to Radio Free Europe/Radio Liberty and CPJ sources. Police received an anonymous call informing them that there was a body on the street. They came under heavy fire by unidentified assailants when they went to retrieve the body, according to RFE/RL and CPJ sources."
